species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Corynoptera barbata,ABA1224,Terrestrial,NonFeeding,Saprophagous
Mycetophila sordida,ABA1684,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Phronia cinerascens,ABA2656,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Boletina onegensis,ABA3065,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Molophilus oligacanthus,ABA4103,SemiAquatic,NonFeeding,Saprophagous
Bradysia browni,ABA6444,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Bradysia trivittata,ABA6488,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Medetera vittata,ABA6516,Terrestrial,Predaceous,Predaceous
Pegomya winthemi,ABA6845,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Megaselia pleuralis,ABA6993,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Pseudacteon onyx,ABA8289,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Corynoptera furcata,ABU5521,Terrestrial,NonFeeding,Saprophagous
Limnophyes sp. 14ES,ABU5525,SemiAquatic,NonFeeding,Saprophagous
Megaselia aristalis,ABU5533,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Shannonomyia lenta,ABU6040,Aquatic,NonFeeding,Saprophagous
Mycetophila fungorum,ABU7342,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Liohippelates bishoppi,ABV0266,Terrestrial,Parasitic,Leaf/Root/Stem Feeding and Saprophagous
Rachispoda limosa,ABV1178,SemiAquatic,Saprophagous,Saprophagous
Stilpon curvipes,ABV1424,Terrestrial,Predaceous,Predaceous
Aulacigaster neoleucopeza,ABV3853,Aquatic,Unclear,Saprophagous
Cheilotrichia cinerascens,ABV4106,Aquatic,NonFeeding,Saprophagous
Mayetiola destructor,ABV9277,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Tipula diflava,ABW1727,Aquatic,NonFeeding,Detritus and Algae Feeding
Corynoptera subtrivialis,ABX0976,Terrestrial,NonFeeding,Saprophagous
Megaselia berndseni,ABX2130,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sericomyia chrysotoxoides,ABX5395,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Helina fulvisquama,ABX5991,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Nephrotoma ferruginea,ABX6186,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Mydaea nr. furtiva,ABX6217,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Spelobia semioculata,ABX6678,Terrestrial,Saprophagous,Saprophagous
Megaselia atrox,ABX8427,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Asteromyia carbonifera,ABX9467,Terrestrial,NonFeeding,Mycophagous
Chrysotoxum pubescens,ABY4934,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Cricotopus sp. 18ES,ABY6869,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Calliphora livida,ABY7153,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Culex territans,ABY7666,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Ablabesmyia monilis,ABY9333,Aquatic,NonFeeding,Predaceous
Xylota ouelleti,ABZ0281,SemiAquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Metalimnobia solitaria,ABZ1300,Terrestrial,NonFeeding,Mycophagous
Limnophyes minimus,ABZ1847,SemiAquatic,NonFeeding,Saprophagous
Epalpus signifer,ABZ2493,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Cricotopus obnixus,ABZ4817,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Megaselia longicostalis,ABZ4981,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Micropsectra nigripila,ABZ5071,Aquatic,NonFeeding,Detritus and Algae Feeding
Platycheirus confusus,ABZ7211,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Campylocheta townsendi,ABZ7873,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Corynoneura sp. 1ES,ABZ8189,Aquatic,NonFeeding,Detritus and Algae Feeding
Pseudorthocladius curtistylus,ACA3730,Aquatic,NonFeeding,Detritus and Algae Feeding
Camptochaeta uniformis,ACA4924,Terrestrial,NonFeeding,Saprophagous
Scatopsciara fera,ACA8575,Terrestrial,NonFeeding,Saprophagous
Metalimnobia immatura,ACA9696,Terrestrial,NonFeeding,Mycophagous
Ormosia rubella,ACA9789,SemiAquatic,NonFeeding,Saprophagous
Phytosciara plusiochaeta,ACB0517,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Megaselia citrinella,ACB0962,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia spinigera,ACB0987,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Campylomyza dilatata,ACB1079,Terrestrial,NonFeeding,Mycophagous
Bradysia trivittata,ACB1143,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Megaselia largifrontalis,ACB2325,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Heterogenella hybrida,ACB2627,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Phytomyza periclymeni,ACB3284,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Aphanotrigonum trilineatum,ACB9088,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Cricotopus bicinctus,ACC7282,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Bradysia excelsa,ACC7631,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Bradysia browni,ACD0175,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Claustropyga acanthostyla,ACD0689,Terrestrial,NonFeeding,Saprophagous
Botanophila hucketti,ACE3220,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Mycophagous
Helophilus lapponicus,ACE4226,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Leptopeza flavipes,ACE5974,Terrestrial,Predaceous,Predaceous
Aedes dorsalis,ACE6286,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Ablabesmyia illinoensis,ACE6563,Aquatic,NonFeeding,Predaceous
Fannia subpellucens,ACE6624,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Phaonia subfuscinervis,ACE7171,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Cratyna longispina,ACE7347,Terrestrial,NonFeeding,Saprophagous
Liriomyza fricki,ACE7414,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Siphonella oscinina,ACE8784,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Spilogona arctica,ACF0384,Aquatic,Predaceous,Predaceous
Drosophila transversa,ACF0720,Terrestrial,Saprophagous,Mycophagous
Mydaea neglecta,ACF1299,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Spilogona fatima,ACF1455,Aquatic,Predaceous,Predaceous
Mycetophila fungorum,ACF2821,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Platycheirus hyperboreus,ACF4734,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Trichocera regelationis,ACF7745,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Peromyia perpusilla,ACF9583,Terrestrial,NonFeeding,Mycophagous
Parachironomus tenuicaudatus,ACG3305,Aquatic,NonFeeding,Detritus and Algae Feeding
Bradysia inusitata,ACH4332,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Trichosia townesi,ACI3053,Terrestrial,NonFeeding,Saprophagous
Corynoptera subparvula,ACI3619,Terrestrial,NonFeeding,Saprophagous
Bradysia moestula,ACI6927,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Scatopsciara geophila,ACJ0083,Terrestrial,NonFeeding,Saprophagous
Vitisiella brevicauda,ACK1360,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Schizohelea leucopeza,ACL4093,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Rheosmittia spinicornis,ACM1900,Aquatic,NonFeeding,Detritus and Algae Feeding
Hybomitra epistates,ACM8443,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Coenosia laeta,ACN2769,Terrestrial,Predaceous,Predaceous
Beris fuscipes,ACO2394,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Suillia apicalis,ACO5135,Terrestrial,Unclear,Mycophagous
Smittia sp. 8ES,ACP4736,Terrestrial,NonFeeding,Detritus and Algae Feeding
Botanophila profuga,ACP6334,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Mycophagous
Megaselia pleuralis,ACR0648,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Bradysia placida,ACR4350,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Limnophyes pumilio,ACR6116,SemiAquatic,NonFeeding,Saprophagous
Minettia lupulina,ACR8648,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Liriomyza baptisiae,ACR9469,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Megaselia arcticae,ACS7008,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Bibio longipes,ACT0146,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Pseudolycoriella brunnea,ACU6151,Terrestrial,NonFeeding,Saprophagous
Dasineura mali,ACV3346,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Smittia sp. 14ES,ACW5117,Terrestrial,NonFeeding,Detritus and Algae Feeding
Tanytarsus mendax,ACX2014,Aquatic,NonFeeding,Detritus and Algae Feeding
Hyperlasion wasmanni,ACX4194,Terrestrial,NonFeeding,Saprophagous
Suillia convergens,ACX4624,Terrestrial,Unclear,Mycophagous
Paraphaenocladius impensus,ACX4638,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Zaphne borealis,ACX5193,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Pentacricia aldrichii,ACX5247,Terrestrial,Predaceous,Predaceous
Suillia nemorum,ACX5303,Terrestrial,Unclear,Mycophagous
Conioscinella triorbiculata,ACX5531,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Camptochaeta delicata,ACX5565,Terrestrial,NonFeeding,Saprophagous
Psectrocladius cf. limbatellus,ACY6524,Aquatic,NonFeeding,Detritus and Algae Feeding
Boletina dissipata,ACZ1770,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Megaselia arizonensis,ACZ3800,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia infraposita,ACZ4030,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Camptochaeta flagellifera,ACZ4325,Terrestrial,NonFeeding,Saprophagous
Dolichopus lamellipes,ACZ5095,SemiAquatic,Predaceous,Predaceous
Lauxania shewelli,ACZ5294,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Spilogona obscuripennis,ACZ6405,Aquatic,Predaceous,Predaceous
Rhopalopterum soror,ACZ6867,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Megaselia arcticae,ADA3072,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia lucifrons,ADA4621,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia longicostalis,ADA4916,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Micropsectra recurvata,ADC5430,Aquatic,NonFeeding,Detritus and Algae Feeding
Cordilura atrata,ADC5774,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Dasyopa triangulata,ADI1308,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Limnophila rufibasis,ADI1747,Aquatic,NonFeeding,Saprophagous
Medetera vittata,ADJ0372,Terrestrial,Predaceous,Predaceous
Tipula serta,ADK2996,Aquatic,NonFeeding,Detritus and Algae Feeding
Chironomus sp. TE11,ADL5630,Aquatic,NonFeeding,Detritus and Algae Feeding
Procladius denticulatus,ADR9580,Aquatic,NonFeeding,Predaceous
Smittia edwardsi,ADV7272,Terrestrial,NonFeeding,Detritus and Algae Feeding
Gymnometriocnemus brumalis,ADX9795,Terrestrial,NonFeeding,Detritus and Algae Feeding
Rhamphomyia laevigata,ADY9049,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Micropsectra polita,ADZ9835,Aquatic,NonFeeding,Detritus and Algae Feeding
Monoclona rufilatera,AEA0194,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Hydrobaenus conformis,AEB9326,Aquatic,NonFeeding,Detritus and Algae Feeding
Tanytarsus anderseni,AEC7035,Aquatic,NonFeeding,Detritus and Algae Feeding
Scatopsciara atomaria,AEF2819,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Camptochaeta hirtula,AEH2391,Terrestrial,NonFeeding,Saprophagous
